country,year,percentage,total,type
Africa,1985,53.869,139.514,coal
Africa,1986,52.6,142.078,coal
Africa,1987,54.317,152.227,coal
Africa,1988,51.626,152.449,coal
Africa,1989,51.267,157.211,coal
Africa,1990,51.635,164.674,coal
Africa,1991,50.704,164.786,coal
Africa,1992,50.43,165.42,coal
Africa,1993,51.875,175.962,coal
Africa,1994,51.156,179.799,coal
Africa,1995,51.523,186.889,coal
Africa,1996,51.622,197.294,coal
Africa,1997,51.395,206.048,coal
Africa,1998,49.642,201.7,coal
Africa,1999,47.752,199.796,coal
Africa,2000,47.484,208.214,coal
Africa,2001,46.984,214.431,coal
Africa,2002,46.049,222.898,coal
Africa,2003,46.519,235.015,coal
Africa,2004,45.744,245.195,coal
Africa,2005,44.766,248.812,coal
Africa,2006,44.01,255.901,coal
Africa,2007,43.347,262.47,coal
Africa,2008,41.562,257.491,coal
Africa,2009,39.502,247.706,coal
Africa,2010,38.318,257.335,coal
Africa,2011,37.727,259.959,coal
Africa,2012,35.456,255.512,coal
Africa,2013,33.808,251.335,coal
Africa,2014,32.823,251.874,coal
Africa,2015,31.349,246.836,coal
Africa,2016,31.128,249.796,coal
Africa,1985,10.783,27.926,gas
Africa,1986,10.495,28.349,gas
Africa,1987,11.27,31.584,gas
Africa,1988,11.517,34.01,gas
Africa,1989,12.046,36.939,gas
Africa,1990,13.372,42.646,gas
Africa,1991,14.034,45.612,gas
Africa,1992,15.409,50.544,gas
Africa,1993,16.254,55.134,gas
Africa,1994,17.669,62.102,gas
Africa,1995,18.282,66.314,gas
Africa,1996,18.313,69.992,gas
Africa,1997,18.918,75.844,gas
Africa,1998,19.032,77.33,gas
Africa,1999,20.576,86.09,gas
Africa,2000,20.945,91.842,gas
Africa,2001,22.125,100.976,gas
Africa,2002,23.955,115.952,gas
Africa,2003,24.54,123.976,gas
Africa,2004,25.774,138.154,gas
Africa,2005,27.482,152.749,gas
Africa,2006,28.276,164.415,gas
Africa,2007,28.871,174.819,gas
Africa,2008,29.78,184.493,gas
Africa,2009,30.703,192.528,gas
Africa,2010,32.504,218.292,gas
Africa,2011,34.206,235.694,gas
Africa,2012,36.251,261.239,gas
Africa,2013,36.113,268.471,gas
Africa,2014,36.112,277.117,gas
Africa,2015,37.172,292.686,gas
Africa,2016,38.244,306.894,gas
Africa,1985,2.052,5.315,nuclear
Africa,1986,3.259,8.803,nuclear
Africa,1987,2.2,6.167,nuclear
Africa,1988,3.553,10.493,nuclear
Africa,1989,3.619,11.099,nuclear
Africa,1990,2.649,8.449,nuclear
Africa,1991,2.814,9.144,nuclear
Africa,1992,2.832,9.288,nuclear
Africa,1993,2.139,7.255,nuclear
Africa,1994,2.759,9.697,nuclear
Africa,1995,3.116,11.301,nuclear
Africa,1996,3.081,11.775,nuclear
Africa,1997,3.155,12.647,nuclear
Africa,1998,3.347,13.601,nuclear
Africa,1999,3.068,12.837,nuclear
Africa,2000,2.967,13.01,nuclear
Africa,2001,2.349,10.719,nuclear
Africa,2002,2.477,11.991,nuclear
Africa,2003,2.507,12.663,nuclear
Africa,2004,2.493,13.365,nuclear
Africa,2005,2.032,11.293,nuclear
Africa,2006,1.724,10.026,nuclear
Africa,2007,1.869,11.317,nuclear
Africa,2008,2.099,13.004,nuclear
Africa,2009,2.042,12.806,nuclear
Africa,2010,2.014,13.527,nuclear
Africa,2011,1.872,12.902,nuclear
Africa,2012,1.799,12.967,nuclear
Africa,2013,1.897,14.106,nuclear
Africa,2014,1.798,13.794,nuclear
Africa,2015,1.554,12.237,nuclear
Africa,2016,1.983,15.913,nuclear
Africa,1985,13.242,34.296,oil
Africa,1986,13.766,37.184,oil
Africa,1987,13.803,38.684,oil
Africa,1988,14.431,42.613,oil
Africa,1989,14.133,43.338,oil
Africa,1990,13.522,43.126,oil
Africa,1991,12.986,42.203,oil
Africa,1992,13.03,42.743,oil
Africa,1993,12.354,41.905,oil
Africa,1994,11.361,39.93,oil
Africa,1995,9.966,36.15,oil
Africa,1996,9.766,37.324,oil
Africa,1997,9.606,38.51,oil
Africa,1998,10.553,42.877,oil
Africa,1999,10.68,44.687,oil
Africa,2000,10.55,46.263,oil
Africa,2001,10.329,47.139,oil
Africa,2002,9.588,46.41,oil
Africa,2003,9.476,47.871,oil
Africa,2004,9.092,48.735,oil
Africa,2005,9.135,50.775,oil
Africa,2006,9.407,54.697,oil
Africa,2007,9.61,58.191,oil
Africa,2008,10.132,62.768,oil
Africa,2009,10.798,67.713,oil
Africa,2010,9.734,65.371,oil
Africa,2011,8.394,57.839,oil
Africa,2012,9.568,68.948,oil
Africa,2013,10.711,79.63,oil
Africa,2014,11.035,84.679,oil
Africa,2015,11.788,92.817,oil
Africa,2016,10.862,87.162,oil
Africa,1985,19.197,49.719,renewables
Africa,1986,19.179,51.804,renewables
Africa,1987,17.739,49.714,renewables
Africa,1988,18.361,54.219,renewables
Africa,1989,18.553,56.893,renewables
Africa,1990,18.193,58.02,renewables
Africa,1991,18.905,61.439,renewables
Africa,1992,17.891,58.685,renewables
Africa,1993,16.981,57.6,renewables
Africa,1994,16.622,58.422,renewables
Africa,1995,16.761,60.796,renewables
Africa,1996,16.637,63.584,renewables
Africa,1997,16.275,65.248,renewables
Africa,1998,16.829,68.377,renewables
Africa,1999,17.304,72.4,renewables
Africa,2000,17.721,77.704,renewables
Africa,2001,18.325,83.632,renewables
Africa,2002,18.166,87.932,renewables
Africa,2003,17.035,86.059,renewables
Africa,2004,17.012,91.186,renewables
Africa,2005,16.713,92.895,renewables
Africa,2006,16.667,96.909,renewables
Africa,2007,16.442,99.557,renewables
Africa,2008,16.434,101.816,renewables
Africa,2009,16.746,105.012,renewables
Africa,2010,16.938,113.754,renewables
Africa,2011,17.033,117.365,renewables
Africa,2012,16.451,118.555,renewables
Africa,2013,17.015,126.496,renewables
Africa,2014,17.758,136.269,renewables
Africa,2015,17.714,139.477,renewables
Africa,2016,17.353,139.253,renewables
Asia Pacific,1985,37.765,650.722,coal
Asia Pacific,1986,39.374,714.622,coal
Asia Pacific,1987,40.697,802.001,coal
Asia Pacific,1988,40.993,870.004,coal
Asia Pacific,1989,41.324,945.36,coal
Asia Pacific,1990,40.739,1005.78,coal
Asia Pacific,1991,42.092,1109.339,coal
Asia Pacific,1992,43.888,1220.033,coal
Asia Pacific,1993,44.266,1291.792,coal
Asia Pacific,1994,45.298,1438.51,coal
Asia Pacific,1995,45.625,1549.107,coal
Asia Pacific,1996,47.211,1686.074,coal
Asia Pacific,1997,47.577,1780.491,coal
Asia Pacific,1998,47.956,1845.875,coal
Asia Pacific,1999,49.365,1993.877,coal
Asia Pacific,2000,50.739,2174.519,coal
Asia Pacific,2001,51.557,2308.735,coal
Asia Pacific,2002,52.673,2508.411,coal
Asia Pacific,2003,55.248,2816.948,coal
Asia Pacific,2004,55.121,3068.934,coal
Asia Pacific,2005,56.854,3394.883,coal
Asia Pacific,2006,58.257,3761.526,coal
Asia Pacific,2007,59.708,4188.346,coal
Asia Pacific,2008,58.993,4307.8,coal
Asia Pacific,2009,60.396,4552.347,coal
Asia Pacific,2010,59.723,4931.766,coal
Asia Pacific,2011,61.334,5443.459,coal
Asia Pacific,2012,61.004,5660.018,coal
Asia Pacific,2013,62.004,6084.452,coal
Asia Pacific,2014,61.325,6336.95,coal
Asia Pacific,2015,60.097,6268.615,coal
Asia Pacific,2016,59.251,6485.893,coal
Asia Pacific,1985,10.36,178.517,gas
Asia Pacific,1986,10.355,187.94,gas
Asia Pacific,1987,10.724,211.322,gas
Asia Pacific,1988,10.681,226.677,gas
Asia Pacific,1989,10.559,241.565,gas
Asia Pacific,1990,10.96,270.587,gas
Asia Pacific,1991,11.146,293.739,gas
Asia Pacific,1992,11.292,313.91,gas
Asia Pacific,1993,11.191,326.57,gas
Asia Pacific,1994,11.494,365.006,gas
Asia Pacific,1995,11.99,407.111,gas
Asia Pacific,1996,12.414,443.333,gas
Asia Pacific,1997,13.594,508.748,gas
Asia Pacific,1998,13.844,532.891,gas
Asia Pacific,1999,14.289,577.148,gas
Asia Pacific,2000,13.993,599.698,gas
Asia Pacific,2001,14.272,639.118,gas
Asia Pacific,2002,14.499,690.47,gas
Asia Pacific,2003,14.83,756.148,gas
Asia Pacific,2004,14.378,800.526,gas
Asia Pacific,2005,13.729,819.78,gas
Asia Pacific,2006,13.641,880.788,gas
Asia Pacific,2007,13.611,954.775,gas
Asia Pacific,2008,13.776,1005.937,gas
Asia Pacific,2009,13.869,1045.365,gas
Asia Pacific,2010,14.097,1164.089,gas
Asia Pacific,2011,13.978,1240.546,gas
Asia Pacific,2012,14.219,1319.232,gas
Asia Pacific,2013,13.291,1304.233,gas
Asia Pacific,2014,13.212,1365.23,gas
Asia Pacific,2015,13.19,1375.787,gas
Asia Pacific,2016,12.83,1404.401,gas
