country,year,percentage,type
Africa,1985,53.869,coal
Africa,1986,52.6,coal
Africa,1987,54.317,coal
Africa,1988,51.626,coal
Africa,1989,51.267,coal
Africa,1990,51.635,coal
Africa,1991,50.704,coal
Africa,1992,50.43,coal
Africa,1993,51.875,coal
Africa,1994,51.156,coal
Africa,1995,51.523,coal
Africa,1996,51.622,coal
Africa,1997,51.395,coal
Africa,1998,49.642,coal
Africa,1999,47.752,coal
Africa,2000,47.484,coal
Africa,2001,46.984,coal
Africa,2002,46.049,coal
Africa,2003,46.519,coal
Africa,2004,45.744,coal
Africa,2005,44.766,coal
Africa,2006,44.01,coal
Africa,2007,43.347,coal
Africa,2008,41.562,coal
Africa,2009,39.502,coal
Africa,2010,38.318,coal
Africa,2011,37.727,coal
Africa,2012,35.456,coal
Africa,2013,33.808,coal
Africa,2014,32.823,coal
Africa,2015,31.349,coal
Africa,2016,31.128,coal
Africa,2017,30.156,coal
Africa,2018,30.335,coal
Africa,2019,29.141,coal
Africa,1985,10.783,gas
Africa,1986,10.495,gas
Africa,1987,11.27,gas
Africa,1988,11.517,gas
Africa,1989,12.046,gas
Africa,1990,13.372,gas
Africa,1991,14.034,gas
Africa,1992,15.409,gas
Africa,1993,16.254,gas
Africa,1994,17.669,gas
Africa,1995,18.282,gas
Africa,1996,18.313,gas
Africa,1997,18.918,gas
Africa,1998,19.032,gas
Africa,1999,20.576,gas
Africa,2000,20.945,gas
Africa,2001,22.125,gas
Africa,2002,23.955,gas
Africa,2003,24.54,gas
Africa,2004,25.774,gas
Africa,2005,27.482,gas
Africa,2006,28.276,gas
Africa,2007,28.871,gas
Africa,2008,29.78,gas
Africa,2009,30.703,gas
Africa,2010,32.504,gas
Africa,2011,34.206,gas
Africa,2012,36.251,gas
Africa,2013,36.113,gas
Africa,2014,36.112,gas
Africa,2015,37.172,gas
Africa,2016,38.244,gas
Africa,2017,39.472,gas
Africa,2018,39.171,gas
Africa,2019,39.13,gas
Africa,1985,2.052,nuclear
Africa,1986,3.259,nuclear
Africa,1987,2.2,nuclear
Africa,1988,3.553,nuclear
Africa,1989,3.619,nuclear
Africa,1990,2.649,nuclear
Africa,1991,2.814,nuclear
Africa,1992,2.832,nuclear
Africa,1993,2.139,nuclear
Africa,1994,2.759,nuclear
Africa,1995,3.116,nuclear
Africa,1996,3.081,nuclear
Africa,1997,3.155,nuclear
Africa,1998,3.347,nuclear
Africa,1999,3.068,nuclear
Africa,2000,2.967,nuclear
Africa,2001,2.349,nuclear
Africa,2002,2.477,nuclear
Africa,2003,2.507,nuclear
Africa,2004,2.493,nuclear
Africa,2005,2.032,nuclear
Africa,2006,1.724,nuclear
Africa,2007,1.869,nuclear
Africa,2008,2.099,nuclear
Africa,2009,2.042,nuclear
Africa,2010,2.014,nuclear
Africa,2011,1.872,nuclear
Africa,2012,1.799,nuclear
Africa,2013,1.897,nuclear
Africa,2014,1.798,nuclear
Africa,2015,1.554,nuclear
Africa,2016,1.983,nuclear
Africa,2017,1.903,nuclear
Africa,2018,1.311,nuclear
Africa,2019,1.634,nuclear
Africa,1985,13.242,oil
Africa,1986,13.766,oil
Africa,1987,13.803,oil
Africa,1988,14.431,oil
Africa,1989,14.133,oil
Africa,1990,13.522,oil
Africa,1991,12.986,oil
Africa,1992,13.03,oil
Africa,1993,12.354,oil
Africa,1994,11.361,oil
Africa,1995,9.966,oil
Africa,1996,9.766,oil
Africa,1997,9.606,oil
Africa,1998,10.553,oil
Africa,1999,10.68,oil
Africa,2000,10.55,oil
Africa,2001,10.329,oil
Africa,2002,9.588,oil
Africa,2003,9.476,oil
Africa,2004,9.092,oil
Africa,2005,9.135,oil
Africa,2006,9.407,oil
Africa,2007,9.61,oil
Africa,2008,10.132,oil
Africa,2009,10.798,oil
Africa,2010,9.734,oil
Africa,2011,8.394,oil
Africa,2012,9.568,oil
Africa,2013,10.711,oil
Africa,2014,11.035,oil
Africa,2015,11.788,oil
Africa,2016,10.862,oil
Africa,2017,9.662,oil
Africa,2018,9.378,oil
Africa,2019,9.341,oil
Africa,1985,19.197,renewables
Africa,1986,19.179,renewables
Africa,1987,17.739,renewables
Africa,1988,18.361,renewables
Africa,1989,18.553,renewables
Africa,1990,18.193,renewables
Africa,1991,18.905,renewables
Africa,1992,17.891,renewables
Africa,1993,16.981,renewables
Africa,1994,16.622,renewables
Africa,1995,16.761,renewables
Africa,1996,16.637,renewables
Africa,1997,16.275,renewables
Africa,1998,16.829,renewables
Africa,1999,17.304,renewables
Africa,2000,17.721,renewables
Africa,2001,18.325,renewables
Africa,2002,18.166,renewables
Africa,2003,17.035,renewables
Africa,2004,17.012,renewables
Africa,2005,16.713,renewables
Africa,2006,16.667,renewables
Africa,2007,16.442,renewables
Africa,2008,16.434,renewables
Africa,2009,16.746,renewables
Africa,2010,16.938,renewables
Africa,2011,17.033,renewables
Africa,2012,16.451,renewables
Africa,2013,17.015,renewables
Africa,2014,17.758,renewables
Africa,2015,17.714,renewables
Africa,2016,17.353,renewables
Africa,2017,18.214,renewables
Africa,2018,19.223,renewables
Africa,2019,20.435,renewables
Asia Pacific,1985,37.765,coal
Asia Pacific,1986,39.374,coal
Asia Pacific,1987,40.697,coal
Asia Pacific,1988,40.993,coal
Asia Pacific,1989,41.324,coal
Asia Pacific,1990,40.739,coal
Asia Pacific,1991,42.092,coal
Asia Pacific,1992,43.888,coal
Asia Pacific,1993,44.266,coal
Asia Pacific,1994,45.298,coal
Asia Pacific,1995,45.625,coal
Asia Pacific,1996,47.211,coal
Asia Pacific,1997,47.577,coal
Asia Pacific,1998,47.956,coal
Asia Pacific,1999,49.365,coal
Asia Pacific,2000,50.739,coal
Asia Pacific,2001,51.557,coal
Asia Pacific,2002,52.673,coal
Asia Pacific,2003,55.248,coal
Asia Pacific,2004,55.121,coal
Asia Pacific,2005,56.854,coal
Asia Pacific,2006,58.257,coal
Asia Pacific,2007,59.708,coal
Asia Pacific,2008,58.993,coal
Asia Pacific,2009,60.396,coal
Asia Pacific,2010,59.723,coal
Asia Pacific,2011,61.334,coal
Asia Pacific,2012,61.004,coal
Asia Pacific,2013,62.004,coal
Asia Pacific,2014,61.325,coal
Asia Pacific,2015,60.097,coal
Asia Pacific,2016,59.251,coal
Asia Pacific,2017,59.249,coal
Asia Pacific,2018,59.192,coal
Asia Pacific,2019,58.125,coal
Asia Pacific,1985,10.36,gas
Asia Pacific,1986,10.355,gas
Asia Pacific,1987,10.724,gas
Asia Pacific,1988,10.681,gas
